-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: latitude  0.0236   longitude 37.9062 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 716.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,DOY,T2M,RH2M,PRECTOTCORR
2020,1,24.95,70.76,0.32
2020,2,24.83,75.98,2.33
2020,3,24.78,74.42,2.05
2020,4,24.52,74.15,0.36
2020,5,24.14,75.5,1.17
2020,6,25.23,70.52,0.46
2020,7,23.69,84.78,5.54
2020,8,24.36,79.1,2.37
2020,9,24.38,81.09,0.93
2020,10,24.75,74.44,0.18
2020,11,25.17,67.95,0.13
2020,12,24.46,73.54,0.54
2020,13,23.6,83.52,11.2
2020,14,23.96,79.0,6.44
2020,15,24.2,79.57,2.3
2020,16,24.71,75.81,1.48
2020,17,25.24,67.43,0.13
2020,18,25.46,58.88,0.02
2020,19,25.07,58.27,0.01
2020,20,25.33,60.88,0.01
2020,21,25.72,58.98,0.01
2020,22,25.82,60.68,0.01
2020,23,25.68,66.62,0.05
2020,24,25.21,75.08,0.95
2020,25,23.83,86.52,16.18
2020,26,22.97,89.47,7.21
2020,27,24.06,82.1,4.12
2020,28,23.76,80.22,2.56
2020,29,22.89,82.9,3.37
2020,30,24.32,79.02,1.08
2020,31,23.85,81.94,2.85
2020,32,23.49,86.48,7.92
2020,33,24.98,75.58,0.76
2020,34,24.97,76.24,0.84
2020,35,23.38,82.35,1.75
2020,36,23.34,78.42,0.6
2020,37,24.36,71.25,0.22
2020,38,24.87,67.08,0.06
2020,39,24.72,69.59,0.13
2020,40,24.94,67.73,0.22
2020,41,25.8,62.28,0.06
2020,42,26.66,58.18,0.01
2020,43,26.32,63.38,0.05
2020,44,25.59,71.88,3.43
2020,45,25.71,69.54,1.26
2020,46,24.85,74.34,8.04
2020,47,25.03,71.82,1.11
2020,48,26.2,70.47,0.33
2020,49,26.31,71.99,0.71
2020,50,26.17,72.41,1.1
2020,51,27.45,64.67,0.11
2020,52,26.72,65.19,0.1
2020,53,25.81,69.2,0.26
2020,54,26.19,68.39,0.74
2020,55,26.35,66.56,0.06
2020,56,27.96,57.26,0.05
2020,57,26.19,71.47,2.79
2020,58,26.16,73.87,0.94
2020,59,26.44,67.48,0.13
2020,60,26.91,64.97,0.15
2020,61,27.98,62.19,0.49
2020,62,26.86,71.56,1.9
2020,63,26.01,73.76,0.41
2020,64,25.28,75.51,2.02
2020,65,25.91,71.14,0.29
2020,66,27.56,61.65,0.52
2020,67,26.56,67.48,0.28
2020,68,25.51,78.15,2.03
2020,69,26.34,73.29,1.3
2020,70,27.29,65.7,0.22
2020,71,26.79,70.67,0.8
2020,72,26.58,69.54,0.38
2020,73,26.84,69.13,0.63
2020,74,26.99,68.6,0.55
2020,75,27.71,61.81,0.06
2020,76,27.64,65.66,0.2
2020,77,26.97,66.95,1.49
2020,78,26.6,68.69,3.37
2020,79,26.12,69.7,2.72
2020,80,26.29,68.61,1.74
2020,81,26.79,60.58,0.3
2020,82,26.85,58.79,0.26
2020,83,26.61,58.42,0.04
2020,84,27.47,58.53,0.73
2020,85,25.78,70.39,4.68
2020,86,25.58,75.85,5.22
2020,87,23.79,86.59,4.19
2020,88,25.2,73.68,5.24
2020,89,24.33,78.57,6.2
2020,90,26.18,68.06,0.58
2020,91,24.55,81.64,1.39
2020,92,25.13,79.1,0.88
2020,93,25.93,74.24,0.7
2020,94,26.59,70.34,1.76
2020,95,26.97,66.59,0.21
2020,96,26.61,67.98,1.26
2020,97,25.58,76.15,17.28
2020,98,25.65,74.09,1.72
2020,99,25.76,70.33,0.55
2020,100,26.26,66.69,0.99
2020,101,26.77,64.6,0.34
2020,102,27.32,63.22,0.11
2020,103,26.96,69.33,6.58
2020,104,25.59,76.89,0.67
2020,105,27.25,66.75,0.42
2020,106,27.2,66.36,0.72
2020,107,25.5,72.17,3.56
2020,108,26.0,70.62,7.76
2020,109,25.02,76.96,10.47
2020,110,24.66,77.86,7.35
2020,111,23.79,80.94,4.65
2020,112,23.96,79.41,15.25
2020,113,23.36,81.77,5.81
2020,114,24.07,79.97,12.54
2020,115,23.84,81.95,19.1
2020,116,22.41,85.89,1.98
2020,117,25.11,71.31,0.71
2020,118,24.74,72.07,1.37
2020,119,24.34,75.53,27.08
2020,120,24.0,80.25,9.09
2020,121,24.37,75.05,1.18
2020,122,24.31,77.65,1.42
2020,123,23.96,70.56,1.1
2020,124,24.28,68.18,2.11
2020,125,25.53,70.54,1.04
2020,126,25.71,72.78,1.48
2020,127,25.05,67.06,0.53
2020,128,25.6,65.63,0.28
2020,129,25.68,63.27,0.1
2020,130,25.66,66.27,0.27
2020,131,23.44,78.14,5.58
2020,132,24.94,71.27,3.21
2020,133,25.28,69.66,4.07
2020,134,24.81,73.43,0.79
2020,135,25.92,67.41,0.92
2020,136,25.11,75.4,3.51
2020,137,24.75,67.54,0.43
2020,138,24.04,63.67,0.02
2020,139,23.78,63.58,0.1
2020,140,24.87,59.4,0.21
2020,141,25.77,64.76,0.18
2020,142,25.15,68.37,0.2
2020,143,24.55,63.66,0.16
2020,144,24.96,62.97,0.07
2020,145,25.58,62.36,0.1
2020,146,26.07,62.38,0.12
2020,147,26.46,65.32,0.28
2020,148,26.45,61.79,0.17
2020,149,26.19,62.52,0.14
2020,150,26.04,63.75,0.76
2020,151,25.37,58.12,0.09
2020,152,25.86,58.38,0.08
2020,153,26.17,57.88,0.08
2020,154,25.99,58.37,0.15
2020,155,24.49,65.29,0.23
2020,156,24.62,62.27,0.14
2020,157,23.93,62.46,0.04
2020,158,25.83,56.46,0.42
2020,159,23.98,69.67,11.68
2020,160,23.07,73.68,7.68
2020,161,23.35,66.0,0.29
2020,162,23.54,69.3,0.62
2020,163,24.4,63.56,0.19
2020,164,24.28,66.3,1.19
2020,165,24.66,65.5,1.13
2020,166,23.67,65.99,1.02
2020,167,23.87,59.01,0.16
2020,168,23.62,59.74,0.34
2020,169,24.03,56.55,0.06
2020,170,24.08,56.32,0.02
2020,171,24.96,57.9,0.04
2020,172,25.15,62.5,1.47
2020,173,24.97,59.86,0.95
2020,174,25.35,55.55,0.21
2020,175,25.64,57.57,0.41
2020,176,25.75,58.95,0.4
2020,177,25.52,59.55,0.26
2020,178,25.42,59.42,0.16
2020,179,25.36,56.94,0.17
2020,180,25.28,57.18,0.07
2020,181,25.46,55.28,0.15
2020,182,25.04,53.01,0.02
2020,183,25.49,57.11,0.08
2020,184,24.76,54.79,0.06
2020,185,24.22,54.97,0.09
2020,186,23.59,54.86,0.03
2020,187,24.86,54.83,0.36
2020,188,25.01,50.35,0.38
2020,189,24.88,51.84,0.4
2020,190,25.43,54.78,0.28
2020,191,24.77,60.88,1.39
2020,192,24.91,56.85,0.26
2020,193,25.02,52.03,0.03
2020,194,25.31,54.25,0.05
2020,195,24.94,57.85,0.27
2020,196,25.04,51.42,0.11
2020,197,24.72,59.36,0.17
2020,198,23.65,57.39,0.52
2020,199,23.65,48.2,0.15
2020,200,23.26,45.02,0.09
2020,201,23.95,52.49,0.15
2020,202,23.68,55.47,0.59
2020,203,24.51,49.17,0.46
2020,204,24.56,55.99,0.66
2020,205,24.1,58.97,0.97
2020,206,23.21,61.59,2.06
2020,207,23.98,51.77,0.22
2020,208,24.32,54.52,0.47
2020,209,24.96,54.95,0.36
2020,210,25.16,56.34,0.51
2020,211,25.43,53.18,0.04
2020,212,25.34,55.56,0.12
2020,213,25.58,59.43,0.31
2020,214,25.1,56.21,0.13
2020,215,24.01,52.46,0.08
2020,216,24.42,52.78,0.06
2020,217,25.01,48.69,0.07
2020,218,25.32,54.32,0.05
2020,219,25.82,57.39,0.18
2020,220,24.45,60.45,0.67
2020,221,24.07,58.59,1.63
2020,222,24.21,55.74,0.12
2020,223,23.51,59.41,0.34
2020,224,24.58,55.86,0.52
2020,225,24.66,59.53,0.45
2020,226,24.59,58.9,0.37
2020,227,24.34,57.65,0.38
2020,228,25.37,54.39,0.33
2020,229,24.49,54.06,0.93
2020,230,24.93,56.61,0.22
2020,231,25.49,50.04,0.09
2020,232,25.46,58.16,1.61
2020,233,25.42,53.88,1.46
2020,234,25.27,55.3,0.51
2020,235,24.91,52.54,0.62
2020,236,24.55,54.31,1.65
2020,237,24.69,57.27,1.62
2020,238,25.28,53.09,0.13
2020,239,25.86,53.94,0.09
2020,240,25.8,57.27,0.24
2020,241,26.15,52.87,0.13
2020,242,26.0,47.83,0.05
2020,243,25.69,47.11,0.01
2020,244,26.0,49.28,0.02
2020,245,25.2,49.25,0.03
2020,246,24.56,47.39,0.02
2020,247,25.13,51.17,0.15
2020,248,25.97,49.3,0.45
2020,249,24.53,60.21,2.06
2020,250,24.02,62.05,4.19
2020,251,23.8,56.48,0.49
2020,252,24.9,50.24,0.19
2020,253,25.12,50.49,0.11
2020,254,25.74,49.83,0.11
2020,255,25.85,49.37,0.17
2020,256,26.13,47.17,0.07
2020,257,26.27,46.87,0.04
2020,258,26.52,48.97,0.04
2020,259,26.81,51.21,0.05
2020,260,27.0,47.6,0.04
2020,261,26.89,44.69,0.02
2020,262,26.65,51.93,0.08
2020,263,26.68,55.86,0.3
2020,264,26.25,50.15,0.08
2020,265,26.21,49.79,0.06
2020,266,26.65,46.23,0.03
2020,267,26.43,54.91,3.05
2020,268,25.91,60.11,3.44
2020,269,24.38,62.73,5.84
2020,270,25.28,57.82,1.56
2020,271,26.08,54.27,0.61
2020,272,26.93,56.99,0.34
2020,273,27.35,56.69,0.24
2020,274,27.34,51.3,0.06
2020,275,27.09,50.16,0.05
2020,276,27.05,52.5,0.21
2020,277,27.16,48.08,0.08
2020,278,25.78,50.15,0.08
2020,279,27.19,45.65,0.02
2020,280,27.57,43.8,0.05
2020,281,26.65,40.59,0.01
2020,282,27.65,44.58,0.15
2020,283,28.44,47.57,0.38
2020,284,28.17,55.27,2.71
2020,285,28.04,47.95,1.17
2020,286,27.81,47.61,0.41
2020,287,28.5,46.41,0.14
2020,288,28.45,51.3,0.52
2020,289,28.24,46.85,0.11
2020,290,27.77,52.31,0.78
2020,291,27.48,46.97,0.33
2020,292,26.62,49.8,0.94
2020,293,26.79,51.03,1.21
2020,294,27.04,49.1,1.1
2020,295,27.08,47.12,0.76
2020,296,27.33,49.62,0.31
2020,297,28.0,51.34,0.45
2020,298,28.22,47.32,0.25
2020,299,26.91,53.88,0.63
2020,300,27.53,48.46,0.13
2020,301,27.48,50.92,6.94
2020,302,25.86,67.07,4.57
2020,303,24.55,66.57,6.51
2020,304,25.04,68.02,2.17
2020,305,25.08,67.06,1.41
2020,306,25.54,63.53,0.5
2020,307,25.29,66.42,3.96
2020,308,24.08,73.71,9.41
2020,309,23.61,78.3,24.33
2020,310,23.88,80.35,29.86
2020,311,24.23,79.09,4.14
2020,312,24.29,72.95,2.47
2020,313,25.19,67.9,1.39
2020,314,24.3,78.82,8.74
2020,315,24.85,75.79,4.33
2020,316,24.61,74.97,6.54
2020,317,25.0,69.78,1.07
2020,318,24.73,72.97,1.85
2020,319,24.79,72.93,2.3
2020,320,25.88,66.32,0.59
2020,321,25.13,70.31,2.15
2020,322,24.93,69.24,3.09
2020,323,25.53,64.1,1.41
2020,324,25.28,69.97,3.12
2020,325,25.81,64.17,1.36
2020,326,25.88,64.52,1.46
2020,327,26.05,66.53,1.77
2020,328,26.13,65.31,0.51
2020,329,26.34,65.3,0.38
2020,330,26.77,60.3,0.45
2020,331,26.56,62.17,1.17
2020,332,25.05,72.68,3.15
2020,333,24.77,77.93,5.31
2020,334,24.94,75.06,9.54
2020,335,26.19,62.58,0.33
2020,336,26.31,61.57,0.24
2020,337,25.31,66.98,1.64
2020,338,25.13,67.47,1.54
2020,339,25.05,69.51,3.72
2020,340,25.75,67.63,1.04
2020,341,25.88,62.83,0.21
2020,342,26.36,62.66,0.57
2020,343,24.21,76.73,5.38
2020,344,25.66,63.97,0.97
2020,345,24.7,67.01,1.23
2020,346,25.87,55.16,0.24
2020,347,26.0,54.84,0.02
2020,348,25.48,58.68,0.0
2020,349,25.44,53.99,0.0
2020,350,25.48,49.55,0.0
2020,351,25.73,51.92,0.0
2020,352,26.07,53.38,0.12
2020,353,25.62,55.22,0.12
2020,354,26.45,52.5,0.34
2020,355,25.88,65.4,1.42
2020,356,26.41,60.86,0.43
2020,357,26.43,60.77,1.85
2020,358,25.81,62.82,2.19
2020,359,26.02,63.37,2.16
2020,360,26.14,58.02,0.13
2020,361,25.97,50.41,0.11
2020,362,24.77,47.39,0.01
