DATE,T2M,RH2M,PRECTOT
20150101,24.38,36.45,0.0
20150102,24.31,34.5,0.0
20150103,24.41,42.12,1.03
20150104,25.08,40.37,1.59
20150105,25.12,36.12,1.45
20150106,25.73,45.1,0.02
20150107,25.5,51.95,0.09
20150108,25.69,56.77,0.07
20150109,26.23,52.09,0.02
20150110,26.06,43.31,0.01
20150111,26.07,43.34,0.04
20150112,24.32,53.59,0.21
20150113,26.02,48.82,0.18
20150114,24.91,35.34,0.0
20150115,25.35,30.47,0.0
20150116,25.33,29.15,0.0
20150117,25.28,28.43,0.0
20150118,25.6,28.17,0.0
20150119,26.43,34.61,0.02
20150120,26.81,48.0,0.69
20150121,26.29,51.95,0.04
20150122,26.74,54.89,0.05
20150123,26.04,57.02,0.04
20150124,25.76,55.13,0.02
20150125,25.01,51.55,0.01
20150126,25.15,46.82,0.0
20150127,26.69,40.31,0.0
20150128,25.42,40.44,0.0
20150129,25.19,44.66,0.0
20150130,25.98,42.48,0.0
20150131,26.73,41.53,0.01
20150201,26.29,45.64,0.02
20150202,26.77,44.09,0.01
20150203,26.7,48.87,0.03
20150204,26.78,55.38,0.69
20150205,27.02,51.97,0.01
20150206,27.49,50.64,0.01
20150207,27.34,49.43,0.0
20150208,26.76,49.38,0.0
20150209,26.74,49.91,0.0
20150210,27.41,50.6,0.28
20150211,27.73,42.45,0.04
20150212,27.33,43.32,0.05
20150213,28.04,43.31,0.04
20150214,28.03,41.92,0.3
20150215,27.52,49.02,3.04
20150216,27.72,52.13,3.0
20150217,27.21,52.98,2.36
20150218,26.89,51.72,1.27
20150219,27.49,52.18,0.91
20150220,27.85,50.23,0.03
20150221,28.66,46.05,0.0
20150222,28.86,41.65,0.0
20150223,28.09,44.12,0.0
20150224,27.81,46.03,0.0
20150225,27.47,41.58,0.0
20150226,27.79,42.5,0.02
20150227,28.37,47.93,0.06
20150228,28.05,42.45,0.01
20150301,27.66,37.69,0.03
20150302,26.59,43.09,0.0
20150303,26.72,44.94,0.0
20150304,26.67,38.97,0.0
20150305,26.56,36.13,0.0
20150306,26.16,42.11,0.0
20150307,26.52,41.21,0.0
20150308,26.92,40.89,0.0
20150309,26.8,42.26,0.0
20150310,26.35,42.67,0.0
20150311,26.86,44.53,0.0
20150312,27.39,47.01,0.02
20150313,28.36,48.64,0.07
20150314,27.41,49.53,0.32
20150315,27.58,43.11,0.0
20150316,28.44,42.65,0.02
20150317,27.71,47.28,0.08
20150318,28.29,48.39,0.19
20150319,28.47,37.5,0.07
20150320,28.74,41.81,0.16
20150321,29.09,49.05,0.44
20150322,28.27,53.97,1.48
20150323,27.75,56.79,3.5
20150324,27.2,57.79,2.55
20150325,26.12,68.37,12.25
20150326,24.97,69.76,5.88
20150327,26.17,63.25,0.45
20150328,26.4,66.65,2.04
20150329,26.83,64.01,1.27
20150330,27.35,61.14,0.98
20150331,27.4,59.8,0.98
20150401,27.48,59.34,2.12
20150402,27.85,57.03,1.44
20150403,27.63,60.33,3.48
20150404,26.63,66.39,6.82
20150405,26.35,68.4,2.27
20150406,26.15,71.8,6.42
20150407,25.72,69.06,1.96
20150408,26.45,65.85,4.11
20150409,25.68,72.67,5.92
20150410,26.55,62.12,1.56
20150411,27.18,58.65,0.2
20150412,27.25,59.12,0.35
20150413,27.65,57.37,0.6
20150414,27.81,57.94,0.54
20150415,27.91,59.54,0.72
20150416,27.08,64.68,5.75
20150417,26.2,70.33,12.44
20150418,25.13,72.98,18.73
20150419,26.21,65.63,1.57
20150420,27.01,60.55,1.0
20150421,26.59,65.71,2.31
20150422,26.61,63.77,4.8
20150423,26.31,64.96,5.24
20150424,26.65,59.0,1.92
20150425,26.68,61.08,0.87
20150426,27.05,61.77,6.93
20150427,23.83,82.47,19.93
20150428,23.01,84.17,18.15
20150429,23.46,78.81,2.73
20150430,24.84,74.2,2.84
20150501,24.59,78.64,7.93
20150502,24.3,75.66,16.24
20150503,24.39,64.43,0.12
20150504,25.23,72.06,2.12
20150505,25.55,66.16,0.55
20150506,25.89,66.29,0.91
20150507,25.51,70.37,0.73
20150508,24.86,65.83,2.45
20150509,24.42,67.65,0.61
20150510,25.56,64.25,0.2
20150511,26.44,63.12,0.7
20150512,26.5,63.82,0.4
20150513,26.03,67.96,0.93
20150514,25.28,72.51,1.93
20150515,26.62,66.98,0.84
20150516,26.09,71.1,1.98
20150517,26.19,65.13,0.43
20150518,26.32,59.3,0.13
20150519,26.02,55.14,0.09
20150520,25.94,59.4,0.23
20150521,25.49,58.62,0.31
20150522,25.56,55.75,0.18
20150523,26.36,57.42,0.29
20150524,26.4,57.46,0.53
20150525,26.12,57.35,0.43
20150526,26.34,55.62,0.24
20150527,26.52,55.42,0.16
20150528,26.83,56.36,0.34
20150529,26.36,61.63,0.38
20150530,25.73,65.37,1.62
20150531,24.79,70.77,3.5
20150601,24.85,71.85,3.13
20150602,25.05,66.75,0.68
20150603,25.74,62.27,0.2
20150604,26.21,61.93,0.62
20150605,26.65,58.49,0.06
20150606,26.16,60.92,0.14
20150607,26.41,53.28,0.03
20150608,25.11,57.93,0.04
20150609,25.19,56.83,0.06
20150610,25.05,57.25,0.08
20150611,25.33,52.54,0.08
20150612,25.19,56.84,0.06
20150613,25.83,57.92,0.08
20150614,25.89,52.89,0.08
20150615,25.73,46.44,0.05
20150616,25.34,50.65,0.22
20150617,25.68,56.31,0.15
20150618,26.04,58.3,0.33
20150619,25.63,58.59,0.29
20150620,25.54,54.76,0.08
20150621,24.74,51.09,0.05
20150622,25.23,50.13,0.05
20150623,25.8,58.15,0.25
20150624,25.48,59.83,0.42
20150625,25.51,58.62,0.29
20150626,25.28,48.12,0.05
20150627,24.82,53.25,0.06
20150628,25.71,49.17,0.05
20150629,26.11,56.43,0.05
20150630,25.82,60.1,0.42
