DATE,T2M,RH2M,PRECTOT
20200101,24.95,70.76,0.32
20200102,24.83,75.98,2.33
20200103,24.78,74.42,2.05
20200104,24.52,74.15,0.36
20200105,24.14,75.5,1.17
20200106,25.23,70.52,0.46
20200107,23.69,84.78,5.54
20200108,24.36,79.1,2.37
20200109,24.38,81.09,0.93
20200110,24.75,74.44,0.18
20200111,25.17,67.95,0.13
20200112,24.46,73.54,0.54
20200113,23.6,83.52,11.2
20200114,23.96,79.0,6.44
20200115,24.2,79.57,2.3
20200116,24.71,75.81,1.48
20200117,25.24,67.43,0.13
20200118,25.46,58.88,0.02
20200119,25.07,58.27,0.01
20200120,25.33,60.88,0.01
20200121,25.72,58.98,0.01
20200122,25.82,60.68,0.01
20200123,25.68,66.62,0.05
20200124,25.21,75.08,0.95
20200125,23.83,86.52,16.18
20200126,22.97,89.47,7.21
20200127,24.06,82.1,4.12
20200128,23.76,80.22,2.56
20200129,22.89,82.9,3.37
20200130,24.32,79.02,1.08
20200131,23.85,81.94,2.85
20200201,23.49,86.48,7.92
20200202,24.98,75.58,0.76
20200203,24.97,76.24,0.84
20200204,23.38,82.35,1.75
20200205,23.34,78.42,0.6
20200206,24.36,71.25,0.22
20200207,24.87,67.08,0.06
20200208,24.72,69.59,0.13
20200209,24.94,67.73,0.22
20200210,25.8,62.28,0.06
20200211,26.66,58.18,0.01
20200212,26.32,63.38,0.05
20200213,25.59,71.88,3.43
20200214,25.71,69.54,1.26
20200215,24.85,74.34,8.04
20200216,25.03,71.82,1.11
20200217,26.2,70.47,0.33
20200218,26.31,71.99,0.71
20200219,26.17,72.41,1.1
20200220,27.45,64.67,0.11
20200221,26.72,65.19,0.1
20200222,25.81,69.2,0.26
20200223,26.19,68.39,0.74
20200224,26.35,66.56,0.06
20200225,27.96,57.26,0.05
20200226,26.19,71.47,2.79
20200227,26.16,73.87,0.94
20200228,26.44,67.48,0.13
20200229,26.91,64.97,0.15
20200301,27.98,62.19,0.49
20200302,26.86,71.56,1.9
20200303,26.01,73.76,0.41
20200304,25.28,75.51,2.02
20200305,25.91,71.14,0.29
20200306,27.56,61.65,0.52
20200307,26.56,67.48,0.28
20200308,25.51,78.15,2.03
20200309,26.34,73.29,1.3
20200310,27.29,65.7,0.22
20200311,26.79,70.67,0.8
20200312,26.58,69.54,0.38
20200313,26.84,69.13,0.63
20200314,26.99,68.6,0.55
20200315,27.71,61.81,0.06
20200316,27.64,65.66,0.2
20200317,26.97,66.95,1.49
20200318,26.6,68.69,3.37
20200319,26.12,69.7,2.72
20200320,26.29,68.61,1.74
20200321,26.79,60.58,0.3
20200322,26.85,58.79,0.26
20200323,26.61,58.42,0.04
20200324,27.47,58.53,0.73
20200325,25.78,70.39,4.68
20200326,25.58,75.85,5.22
20200327,23.79,86.59,4.19
20200328,25.2,73.68,5.24
20200329,24.33,78.57,6.2
20200330,26.18,68.06,0.58
20200331,24.55,81.64,1.39
20200401,25.13,79.1,0.88
20200402,25.93,74.24,0.7
20200403,26.59,70.34,1.76
20200404,26.97,66.59,0.21
20200405,26.61,67.98,1.26
20200406,25.58,76.15,17.28
20200407,25.65,74.09,1.72
20200408,25.76,70.33,0.55
20200409,26.26,66.69,0.99
20200410,26.77,64.6,0.34
20200411,27.32,63.22,0.11
20200412,26.96,69.33,6.58
20200413,25.59,76.89,0.67
