,Temperature_C,Rainfall_mm,WindSpeed_m_s,SolarRadiation_MJ_m2,Humidity_percent
2015-01-01,24.38,0.0,0.87,7.4532,36.45
2015-01-02,24.31,0.0,0.89,7.5317,34.5
2015-01-03,24.41,1.03,0.79,7.2749,42.12
2015-01-04,25.08,1.59,0.73,7.2763,40.37
2015-01-05,25.12,1.45,0.77,7.0188,36.12
2015-01-06,25.73,0.02,0.73,6.1826,45.1
2015-01-07,25.5,0.09,0.69,5.6554,51.95
2015-01-08,25.69,0.07,0.66,6.305,56.77
2015-01-09,26.23,0.02,0.68,6.6312,52.09
2015-01-10,26.06,0.01,0.78,6.8854,43.31
2015-01-11,26.07,0.04,0.71,6.301,43.34
2015-01-12,24.32,0.21,0.66,5.8224,53.59
2015-01-13,26.02,0.18,0.77,6.6173,48.82
2015-01-14,24.91,0.0,0.82,7.5415,35.34
2015-01-15,25.35,0.0,0.91,7.584,30.47
2015-01-16,25.33,0.0,0.88,7.4964,29.15
2015-01-17,25.28,0.0,0.9,7.4851,28.43
2015-01-18,25.6,0.0,0.86,7.3853,28.17
2015-01-19,26.43,0.02,0.74,6.5582,34.61
2015-01-20,26.81,0.69,0.76,5.681,48.0
2015-01-21,26.29,0.04,0.72,5.6784,51.95
2015-01-22,26.74,0.05,0.84,5.7077,54.89
2015-01-23,26.04,0.04,0.77,6.4066,57.02
2015-01-24,25.76,0.02,0.77,6.5652,55.13
2015-01-25,25.01,0.01,0.77,7.3159,51.55
2015-01-26,25.15,0.0,0.7,7.517,46.82
2015-01-27,26.69,0.0,0.76,7.4136,40.31
2015-01-28,25.42,0.0,0.71,7.201,40.44
2015-01-29,25.19,0.0,0.76,7.4729,44.66
2015-01-30,25.98,0.0,0.81,7.4902,42.48
2015-01-31,26.73,0.01,0.78,7.4623,41.53
2015-02-01,26.29,0.02,0.83,6.5189,45.64
2015-02-02,26.77,0.01,0.83,6.8978,44.09
2015-02-03,26.7,0.03,0.84,6.8897,48.87
2015-02-04,26.78,0.69,0.76,6.6038,55.38
2015-02-05,27.02,0.01,0.82,6.6485,51.97
2015-02-06,27.49,0.01,0.78,7.061,50.64
2015-02-07,27.34,0.0,0.78,6.5714,49.43
2015-02-08,26.76,0.0,0.82,6.4615,49.38
2015-02-09,26.74,0.0,0.84,7.4014,49.91
2015-02-10,27.41,0.28,0.99,7.3673,50.6
2015-02-11,27.73,0.04,0.75,7.5823,42.45
2015-02-12,27.33,0.05,0.79,7.0822,43.32
2015-02-13,28.04,0.04,0.76,7.3951,43.31
2015-02-14,28.03,0.3,0.8,6.8081,41.92
2015-02-15,27.52,3.04,0.74,5.4038,49.02
2015-02-16,27.72,3.0,0.77,6.1349,52.13
2015-02-17,27.21,2.36,0.83,5.6549,52.98
2015-02-18,26.89,1.27,0.81,6.4994,51.72
2015-02-19,27.49,0.91,0.89,6.8215,52.18
2015-02-20,27.85,0.03,0.88,6.9497,50.23
2015-02-21,28.66,0.0,0.95,7.1225,46.05
2015-02-22,28.86,0.0,0.94,6.9804,41.65
2015-02-23,28.09,0.0,0.92,7.2552,44.12
2015-02-24,27.81,0.0,0.91,7.3906,46.03
2015-02-25,27.47,0.0,0.86,7.1498,41.58
2015-02-26,27.79,0.02,0.93,7.3867,42.5
2015-02-27,28.37,0.06,0.91,7.3178,47.93
2015-02-28,28.05,0.01,0.93,7.6471,42.45
2015-03-01,27.66,0.03,0.89,6.6094,37.69
2015-03-02,26.59,0.0,0.84,7.693,43.09
2015-03-03,26.72,0.0,0.92,7.5466,44.94
2015-03-04,26.67,0.0,0.93,7.1693,38.97
2015-03-05,26.56,0.0,0.87,7.5166,36.13
2015-03-06,26.16,0.0,0.92,7.7321,42.11
2015-03-07,26.52,0.0,0.97,7.7162,41.21
2015-03-08,26.92,0.0,0.99,7.7902,40.89
2015-03-09,26.8,0.0,0.95,7.8036,42.26
2015-03-10,26.35,0.0,0.99,7.62,42.67
2015-03-11,26.86,0.0,0.95,7.6097,44.53
2015-03-12,27.39,0.02,0.98,7.1129,47.01
2015-03-13,28.36,0.07,1.26,6.2998,48.64
2015-03-14,27.41,0.32,1.32,7.153,49.53
2015-03-15,27.58,0.0,1.13,7.6853,43.11
2015-03-16,28.44,0.02,1.21,7.5679,42.65
2015-03-17,27.71,0.08,1.21,6.2681,47.28
2015-03-18,28.29,0.19,1.38,6.0401,48.39
2015-03-19,28.47,0.07,1.25,6.707,37.5
2015-03-20,28.74,0.16,1.32,6.4258,41.81
2015-03-21,29.09,0.44,1.55,6.7714,49.05
2015-03-22,28.27,1.48,1.56,5.6398,53.97
2015-03-23,27.75,3.5,1.46,4.4239,56.79
2015-03-24,27.2,2.55,1.35,5.5493,57.79
2015-03-25,26.12,12.25,1.21,5.2802,68.37
2015-03-26,24.97,5.88,1.02,4.6102,69.76
2015-03-27,26.17,0.45,1.02,5.0542,63.25
2015-03-28,26.4,2.04,1.03,4.9841,66.65
2015-03-29,26.83,1.27,1.01,6.1104,64.01
2015-03-30,27.35,0.98,0.94,5.9724,61.14
2015-03-31,27.4,0.98,0.98,5.8212,59.8
2015-04-01,27.48,2.12,0.96,6.1764,59.34
2015-04-02,27.85,1.44,0.97,5.9482,57.03
2015-04-03,27.63,3.48,1.21,5.1271,60.33
2015-04-04,26.63,6.82,0.95,5.3038,66.39
2015-04-05,26.35,2.27,0.75,5.591,68.4
2015-04-06,26.15,6.42,0.86,6.0302,71.8
2015-04-07,25.72,1.96,0.85,6.3835,69.06
2015-04-08,26.45,4.11,0.94,5.9244,65.85
2015-04-09,25.68,5.92,0.9,3.9754,72.67
2015-04-10,26.55,1.56,0.85,5.4048,62.12
2015-04-11,27.18,0.2,0.86,6.7147,58.65
2015-04-12,27.25,0.35,0.85,7.0236,59.12
2015-04-13,27.65,0.6,1.02,6.325,57.37
2015-04-14,27.81,0.54,1.16,6.1027,57.94
2015-04-15,27.91,0.72,1.11,5.7653,59.54
2015-04-16,27.08,5.75,1.22,5.7996,64.68
2015-04-17,26.2,12.44,1.16,4.0735,70.33
2015-04-18,25.13,18.73,0.81,5.0695,72.98
2015-04-19,26.21,1.57,0.83,6.403,65.63
2015-04-20,27.01,1.0,1.11,6.1404,60.55
2015-04-21,26.59,2.31,1.24,5.9107,65.71
2015-04-22,26.61,4.8,1.28,6.1118,63.77
2015-04-23,26.31,5.24,1.18,6.481,64.96
2015-04-24,26.65,1.92,1.14,6.2832,59.0
2015-04-25,26.68,0.87,1.38,6.0449,61.08
2015-04-26,27.05,6.93,1.2,5.5714,61.77
2015-04-27,23.83,19.93,0.62,3.7531,82.47
2015-04-28,23.01,18.15,0.58,5.0849,84.17
2015-04-29,23.46,2.73,0.57,5.1691,78.81
2015-04-30,24.84,2.84,0.71,5.3237,74.2
2015-05-01,24.59,7.93,0.89,5.0282,78.64
2015-05-02,24.3,16.24,0.99,5.1492,75.66
2015-05-03,24.39,0.12,1.03,5.8495,64.43
2015-05-04,25.23,2.12,1.22,6.481,72.06
2015-05-05,25.55,0.55,1.27,5.4422,66.16
2015-05-06,25.89,0.91,1.1,6.0403,66.29
2015-05-07,25.51,0.73,1.03,5.5102,70.37
2015-05-08,24.86,2.45,1.08,5.7372,65.83
2015-05-09,24.42,0.61,1.29,5.1926,67.65
2015-05-10,25.56,0.2,0.92,5.6242,64.25
2015-05-11,26.44,0.7,1.08,5.7134,63.12
2015-05-12,26.5,0.4,1.0,6.2098,63.82
2015-05-13,26.03,0.93,0.99,5.8706,67.96
2015-05-14,25.28,1.93,1.04,5.8339,72.51
2015-05-15,26.62,0.84,1.19,6.2174,66.98
2015-05-16,26.09,1.98,1.38,5.2162,71.1
2015-05-17,26.19,0.43,1.28,5.9594,65.13
